id,city,country
Anapa,Анапа,Россия
Astrahan,Астрахань,Россия
Domodedovo,Домодедово,Россия
Ekaterinburg,Екатеринбург,Россия
Gelendzhik,Геленджик,Россия
Istra,Истра,Россия
Kazan,Казань,Россия
Korolyov,Королев,Россия
Krasnodar,Краснодар,Россия
Krasnoyarsk,Красноярск,Россия
London,Лондон,Великобритания
Moscow,Москва,Россия
Murmansk,Мурманск,Россия
Naberezhnye Chelny,Набережные Челны,Россия
Nizhny Novgorod,Нижний Новгород,Россия
Noginsk,Ногинск,Россия
Odintsovo,Одинцово,Россия
Omsk,Омск,Россия
Paris,Париж,Франция
Perm,Пермь,Россия
Saint Petersburg,Санкт-Петербург,Россия
Saint-Petersburg,Санкт-Петербург,Россия
Sheremetevo B,Шереметьево,Россия
Sheremetevo E,Шереметьево,Россия
Sheremetevo F,Шереметьево,Россия
Sochi,Сочи,Россия
Surgut,Сургут,Россия
Tyumen,Тюмень,Россия
Ufa,Уфа,Россия
Vladivostok,Владивосток,Россия
Voronezh,Воронеж,Россия
Yaroslavl,Ярославль,Россия
Yuzhno Sakhalinsk,Южно-Сахалинск,Россия
Zelenograd,Зеленоград,Россия
ekat,Екатеринбург,Россия
ekaterinburg,Екатеринбург,Россия
kazan,Казань,Россия
krasnodar,Краснодар,Россия
london,Лондон,Великобритания
moscow,Москва,Россия
novosibirsk,Новосибирск,Россия
perm,Пермь,Россия
sochi,Сочи,Россия
sp,Санкт-Петербург,Россия
spb,Санкт-Петербург,Россия